,class,count,sum,aspect,elevation_below,year,state,percent_snow_cover,km2_snow,km2_all
48,45_2300,1549,2,45,2300,2021,Kärnten,0.0012911555842479018,0.020000000000000004,15.490000000000004
49,315_3400,2,0,315,3400,2021,Kärnten,0.0,0.0,0.020000000000000004
50,270_3600,1,0,270,3600,2021,Kärnten,0.0,0.0,0.010000000000000002
51,225_2000,3105,0,225,2000,2021,Kärnten,0.0,0.0,31.050000000000004
52,315_1900,3158,1,315,1900,2021,Kärnten,0.00031665611146295124,0.010000000000000002,31.580000000000005
53,45_2700,706,50,45,2700,2021,Kärnten,0.0708215297450425,0.5000000000000001,7.060000000000001
54,225_1900,3536,0,225,1900,2021,Kärnten,0.0,0.0,35.36000000000001
55,135_2800,565,30,135,2800,2021,Kärnten,0.05309734513274336,0.30000000000000004,5.650000000000001
56,180_3600,5,3,180,3600,2021,Kärnten,0.6,0.030000000000000006,0.05000000000000001
57,0_2700,558,30,0,2700,2021,Kärnten,0.053763440860215055,0.30000000000000004,5.580000000000001
58,135_2000,3474,0,135,2000,2021,Kärnten,0.0,0.0,34.74000000000001
59,90_2800,487,49,90,2800,2021,Kärnten,0.10061601642710473,0.4900000000000001,4.870000000000001
60,270_2700,636,20,270,2700,2021,Kärnten,0.031446540880503145,0.20000000000000004,6.360000000000001
61,315_4000,0,0,315,4000,2021,Kärnten,,0.0,0.0
62,90_2000,2976,0,90,2000,2021,Kärnten,0.0,0.0,29.760000000000005
63,315_2500,916,1,315,2500,2021,Kärnten,0.001091703056768559,0.010000000000000002,9.160000000000002
64,45_3000,238,117,45,3000,2021,Kärnten,0.49159663865546216,1.1700000000000002,2.3800000000000003
65,225_3400,6,3,225,3400,2021,Kärnten,0.5,0.030000000000000006,0.06000000000000001
66,180_4000,0,0,180,4000,2021,Kärnten,,0.0,0.0
67,45_1500,90789,0,45,1500,2021,Kärnten,0.0,0.0,907.8900000000002
68,45_3800,0,0,45,3800,2021,Kärnten,,0.0,0.0
69,135_1700,4685,0,135,1700,2021,Kärnten,0.0,0.0,46.85000000000001
70,180_2500,1732,0,180,2500,2021,Kärnten,0.0,0.0,17.320000000000004
71,0_1600,5506,0,0,1600,2021,Kärnten,0.0,0.0,55.06000000000001
72,0_3900,0,0,0,3900,2021,Kärnten,,0.0,0.0
73,135_3200,84,62,135,3200,2021,Kärnten,0.7380952380952381,0.6200000000000001,0.8400000000000002
74,270_1600,4331,0,270,1600,2021,Kärnten,0.0,0.0,43.31000000000001
75,90_1700,4184,0,90,1700,2021,Kärnten,0.0,0.0,41.84000000000001
76,0_3100,78,29,0,3100,2021,Kärnten,0.3717948717948718,0.29000000000000004,0.7800000000000001
77,270_3900,0,0,270,3900,2021,Kärnten,,0.0,0.0
78,90_3200,127,93,90,3200,2021,Kärnten,0.7322834645669292,0.9300000000000002,1.2700000000000002
79,315_3700,0,0,315,3700,2021,Kärnten,,0.0,0.0
80,225_2300,1871,0,225,2300,2021,Kärnten,0.0,0.0,18.710000000000004
81,270_3100,63,8,270,3100,2021,Kärnten,0.12698412698412698,0.08000000000000002,0.6300000000000001
82,225_1800,4305,0,225,1800,2021,Kärnten,0.0,0.0,43.05000000000001
83,45_2600,842,10,45,2600,2021,Kärnten,0.011876484560570071,0.10000000000000002,8.420000000000002
84,0_2600,748,4,0,2600,2021,Kärnten,0.0053475935828877,0.04000000000000001,7.480000000000001
85,180_3500,5,2,180,3500,2021,Kärnten,0.4,0.020000000000000004,0.05000000000000001
86,135_2700,860,14,135,2700,2021,Kärnten,0.01627906976744186,0.14,8.600000000000001
87,90_2900,341,83,90,2900,2021,Kärnten,0.2434017595307918,0.8300000000000002,3.4100000000000006
88,270_2600,903,8,270,2600,2021,Kärnten,0.008859357696566999,0.08000000000000002,9.030000000000001
89,90_2100,2464,0,90,2100,2021,Kärnten,0.0,0.0,24.640000000000004
90,315_2400,1185,1,315,2400,2021,Kärnten,0.0008438818565400844,0.010000000000000002,11.850000000000001
